case_id,skipped_layer,pixel_mae,pixel_rmse,pixel_max_delta,elapsed_seconds,wall_seconds,output_path,prompt
baseline,,,,,4.894648070912808,4.89465443091467,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/baseline.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_00,0,90.71842193603516,112.2018814086914,255.0,4.132244479842484,4.1322503802366555,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_00.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_59,59,72.58899688720703,109.02099609375,255.0,4.288249623030424,4.288256922736764,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_59.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_01,1,46.9899787902832,64.78358459472656,255.0,4.760624682996422,4.760632743127644,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_01.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_37,37,31.914743423461914,52.123538970947266,255.0,4.109001689124852,4.109006798826158,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_37.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_23,23,27.451416015625,62.095123291015625,255.0,4.1427421839907765,4.142747373785824,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_23.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_03,3,26.446258544921875,53.75547790527344,255.0,4.230271114036441,4.230275514069945,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_03.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_49,49,26.0634765625,49.63741683959961,255.0,4.049466894008219,4.049471694044769,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_49.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_32,32,22.044540405273438,50.823089599609375,255.0,4.297424077056348,4.297429856844246,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_32.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_12,12,20.284921646118164,34.681007385253906,253.0,4.2167664538137615,4.216771283186972,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_12.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
